//J_p factors for dwarves in madhat
ID#	J	dJ+	dJ-
1.0	11.342274658534295	0.9292332347647854	0.7547876729716538
4.0	10.500309914588259	0.6145041997164107	0.3537486267463006
5.0	11.094960014537119	0.9960945931641909	0.9685801283306503
6.0	10.701831093847245	0.43004805498053145	0.18904830983792742
9.0	12.403118290057012	1.1461554668660412	1.046889688642061
14.0	11.160789165283015	0.09085571437452522	0.08775991652111692
17.0	10.06311957629906	1.0744044439598675	0.9411125138831338
18.0	12.682402355277347	1.5130773273030176	1.39013157753023
23.0	11.043286727471896	0.5366426854504898	0.4023214645135109
24.0	10.736706590309108	0.6795306512127723	0.31395345951072784
32.0	12.094804399520392	1.3000174136242464	1.0965446631177969
35.0	11.66594574408902	0.14950511063624106	0.0902416044271579
38.0	10.687350591596598	0.3871199397449132	0.17766446619448928
40.0	12.35552156253708	1.0443339094746538	0.9664938517394557
44.0	11.409680601192553	0.7808025416595417	0.5616311764120354
45.0	13.029963898558819	1.0522174274344387	0.9170736988664281
46.0	11.808788610388838	0.20400058877366511	0.14695119085581965
47.0	12.719786029702611	1.4819902870824446	1.0531750146121848
34.0	9.944911964304193	1.419334947853942	1.0703180833258106
