//J_s factors for dwarves in madhat
ID#	J	dJ+	dJ-
1.0	18.386603445490195	0.44501531321281007	0.38199198788140976
4.0	17.489827718872494	0.23385036521019487	0.17570733033920405
5.0	17.938489376088967	0.5341620258848181	0.5194032347278217
6.0	17.90350906991588	0.14777659944992294	0.10674788255784406
9.0	19.256147541404317	0.5686270749938664	0.49677761521318686
14.0	18.113085111212623	0.09600351353886794	0.09182650122939151
17.0	17.449158483785254	0.5817316144291205	0.5667167104778734
18.0	19.39430121565336	0.8416398114824943	0.7889377670095001
23.0	17.714949799167535	0.22009310261623938	0.1568370833766437
24.0	17.778323547596642	0.26159741903482825	0.18918480422332706
32.0	19.22278237003665	0.6069200813622047	0.5384207433017458
35.0	18.639337970883478	0.05428877702314949	0.048082144776692815
38.0	17.87505264657829	0.1260499802243622	0.10072290565093667
40.0	19.09452080682688	0.5999974884279524	0.5614960069405335
44.0	18.381979117503466	0.3514622589413108	0.3135865761787926
45.0	19.739532729120032	0.5326255643728786	0.4805809033822541
46.0	18.81206844131254	0.11796099965312834	0.11095322372078087
47.0	19.695930789627187	0.694346605256964	0.5870537901532558
34.0	17.487984452579123	1.2325938191505799	0.7912924049869119
