# eL channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.07353175549175801
6.0	0.08955246663929815
8.0	0.1157057144385679
10.0	0.13463566823832723
15.0	0.1657632312863572
20.0	0.1965090805317769
25.0	0.20967612212347736
30.0	0.23159945872973992
40.0	0.2652610957704359
50.0	0.2805739647760504
60.0	0.3042848957884792
70.0	0.3181368690276911
80.0	0.34016972259011363
90.0	0.3534402773433757
100.0	0.3659650046142221
110.0	0.3643153330495417
120.0	0.37029260205460246
130.0	0.37756810081855324
140.0	0.38387654034337526
150.0	0.39416723537070203
160.0	0.40369360949941424
180.0	0.42301022265702926
200.0	0.4428082422709525
220.0	0.45847867155759503
240.0	0.47934374380590483
260.0	0.5008421963158569
280.0	0.5156062373274193
300.0	0.5380710035411014
330.0	0.5690700761634593
360.0	0.6003721242098103
400.0	0.6385878892833089
450.0	0.6856365921411319
500.0	0.7177602252448086
550.0	0.7636920442367842
600.0	0.8103525179690342
650.0	0.857528372915723
700.0	0.8849377015594602
750.0	0.9327761785510553
800.0	0.9809707686113608
900.0	1.0551274210544312
1000.0	1.1419836326984365
1100.0	1.1732512574072305
1200.0	1.2441127358953796
1300.0	1.314915480291645
1500.0	1.4231078153710963
1700.0	1.5274241596401301
2000.0	1.6952632172408113
2500.0	1.8781497343282318
3000.0	2.0818398519721995
4000.0	2.416780637646255
5000.0	2.6409058312162013
6000.0	2.8749284965343493
7000.0	3.0527632340170268
8000.0	3.2430380879605827
9000.0	3.3883970743725635
10000.0	3.5735833644985284
12000.0	3.736893666877946
15000.0	4.016278250507577
20000.0	4.366128352929925
30000.0	4.839790887125042
50000.0	5.39634209000509
100000.0	5.934595277659938
