# Nu]e channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.0
6.0	0.0
8.0	0.0
10.0	0.0
15.0	0.0
20.0	0.0
25.0	0.0
30.0	0.0
40.0	0.0
50.0	0.0
60.0	0.0
70.0	0.0
80.0	0.0
90.0	0.0
100.0	0.0
110.0	0.0
120.0	0.0
130.0	0.002998503992755532
140.0	0.008203787165146921
150.0	0.015566331316016308
160.0	0.024582632658211555
180.0	0.04378224278324449
200.0	0.0657267550009903
220.0	0.08340190808240801
240.0	0.1083400415867866
260.0	0.13534685310152023
280.0	0.15308919595912185
300.0	0.182604800082728
330.0	0.22306144009106285
360.0	0.2656376263571177
400.0	0.3191249809065872
450.0	0.38311843966058473
500.0	0.42398485718668394
550.0	0.4886935759939089
600.0	0.5551665316125828
650.0	0.6233635295726491
700.0	0.6596034602913267
750.0	0.7291735593805793
800.0	0.800322233902473
900.0	0.9068859199741712
1000.0	1.0151059850555377
1100.0	1.0738658220724764
1200.0	1.1777857396256575
1300.0	1.281684138181624
1500.0	1.4382669743700696
1700.0	1.5900563952206568
2000.0	1.8381261306692844
2500.0	2.10170191412262
3000.0	2.403904639959789
4000.0	2.8998793622154655
5000.0	3.227295958128657
6000.0	3.5761444421864153
7000.0	3.8383735786417965
8000.0	4.125711517502468
9000.0	4.34224666738408
10000.0	4.600144479371491
12000.0	4.8602859160027725
15000.0	5.279155235458982
20000.0	5.8097145969084005
30000.0	6.52296919902988
50000.0	7.374787958115317
100000.0	8.218617955040417
