# Mu]L channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.03174931807196476
6.0	0.040514405933354355
8.0	0.05577172923342936
10.0	0.06752647433062543
15.0	0.08872081630154352
20.0	0.11038743642236593
25.0	0.12089704537775042
30.0	0.13668872735934992
40.0	0.1626271244027615
50.0	0.1760424563895438
60.0	0.19524877319676698
70.0	0.20718472803096571
80.0	0.22604686942144073
90.0	0.23750979505406936
100.0	0.24894018015706076
110.0	0.24937570664998046
120.0	0.2564102224196774
130.0	0.2654888121583422
140.0	0.2719132107992377
150.0	0.2837269401245996
160.0	0.2960022358264849
180.0	0.3171961745934968
200.0	0.3395868278581635
220.0	0.35563474192661576
240.0	0.3793179140465806
260.0	0.40350279249656457
280.0	0.4188286026364453
300.0	0.44445938223817527
330.0	0.4783999223995242
360.0	0.5130095015739667
400.0	0.5565285181952392
450.0	0.6066494982765467
500.0	0.6386781892171246
550.0	0.6887828355441029
600.0	0.7394120806149009
650.0	0.7909610395722148
700.0	0.8183142721883961
750.0	0.8701164331457955
800.0	0.9232725889303615
900.0	1.0016972581382662
1000.0	1.0901332918888953
1100.0	1.1246484190892028
1200.0	1.2003130013714698
1300.0	1.275546269632741
1500.0	1.3891589363200543
1700.0	1.4982403264560198
2000.0	1.675266145404208
2500.0	1.862507435480347
3000.0	2.0739733540313674
4000.0	2.417090199891956
5000.0	2.64281806357478
6000.0	2.8792588300418336
7000.0	3.057075105793315
8000.0	3.249084093779149
9000.0	3.3942235640798675
10000.0	3.578661718921505
12000.0	3.741006902682924
15000.0	4.019680483324235
20000.0	4.368243171972031
30000.0	4.8395071318309615
50000.0	5.396952462378495
100000.0	5.933640187876789
