# Z channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.0
6.0	0.0
8.0	0.0
10.0	0.0
15.0	0.0
20.0	0.0
25.0	0.0
30.0	0.0
40.0	0.0
50.0	0.0
60.0	0.0
70.0	0.0
80.0	0.0
90.0	0.0
100.0	9.982645689513811
110.0	9.822486967183426
120.0	10.590962280377854
130.0	11.432424157621101
140.0	11.380616307578325
150.0	12.273371486643606
160.0	13.187149472138028
180.0	14.10498419292276
200.0	15.056525173001974
220.0	15.043628282393222
240.0	16.0276059492005
260.0	17.022280221176075
280.0	17.036160239309876
300.0	18.040947493499257
330.0	19.055365384568734
360.0	20.066568384465324
400.0	21.099226252697516
450.0	22.13012944998981
500.0	22.2216601905226
550.0	23.26201292995744
600.0	24.277540737762198
650.0	25.27028289142681
700.0	25.377236053887433
750.0	26.343615692060474
800.0	27.300214519201514
900.0	28.31546305711535
1000.0	29.427001766085862
1100.0	29.515628313338873
1200.0	30.476082717535242
1300.0	31.389734860014126
1500.0	32.4651454180447
1700.0	33.498751381206084
2000.0	35.23649971594059
2500.0	36.65369608416641
3000.0	38.44901846786811
4000.0	41.14986432826301
5000.0	42.84582100689096
6000.0	44.68801511279052
7000.0	46.09315522299385
8000.0	47.60534424506175
9000.0	48.8175540402896
10000.0	50.90452522888058
12000.0	51.92476541537614
15000.0	54.616080221057075
20000.0	58.470570851897406
30000.0	64.71494437628348
50000.0	74.33355947236643
100000.0	91.13694398113601
