//Gamma channel integrated photon spectrum
MASS	Energy Spectrum
5.0	1.4000937164082592
6.0	1.4018729788555828
8.0	1.4060933793017492
10.0	1.4086183415165274
15.0	1.4115503438507728
20.0	1.4102166035439097
25.0	1.4131185940906836
30.0	1.419201287497913
40.0	1.4279613451227073
50.0	1.4331262001549294
60.0	1.4399784218418463
70.0	1.443788437484077
80.0	1.4492027889720742
90.0	1.451720345353017
100.0	1.453728594422699
110.0	0.12302949081939676
120.0	0.07492137952671131
130.0	0.07900744191103391
140.0	0.08367936007988355
150.0	0.0903117238255713
160.0	0.09823059504413026
180.0	0.11578908798120993
200.0	0.13761463664361678
220.0	0.15503169001376688
240.0	0.18018299609894406
260.0	0.2066317061477709
280.0	0.2247633443719255
300.0	0.25482989296012154
330.0	0.295676455863686
360.0	0.33939438476402245
400.0	0.3953016542872575
450.0	0.46183413411405755
500.0	0.509224470735718
550.0	0.5775861813419567
600.0	0.6492339446794841
650.0	0.7216438560681259
700.0	0.765318479406135
750.0	0.8388164670417546
800.0	0.9142817848533207
900.0	1.0314958336015998
1000.0	1.1523672992654457
1100.0	1.2241539737451677
1200.0	1.3394361821109135
1300.0	1.4461118579933914
1500.0	1.6216119777747975
1700.0	1.788338745217293
2000.0	2.0418843182019226
2500.0	2.3429444985316987
3000.0	2.6420724062951777
4000.0	3.110734286886083
5000.0	3.4543027048610155
6000.0	3.7466455164719963
7000.0	3.987769902524056
8000.0	4.171458714119751
9000.0	4.336937229712552
10000.0	4.576875718360899
12000.0	4.73513601551721
15000.0	4.991525943513347
20000.0	5.223076128160064
30000.0	5.565898684129829
50000.0	5.836160633347372
100000.0	5.699452387630471
