# WT channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.0
6.0	0.0
8.0	0.0
10.0	0.0
15.0	0.0
20.0	0.0
25.0	0.0
30.0	0.0
40.0	0.0
50.0	0.0
60.0	0.0
70.0	0.0
80.0	0.0
90.0	8.852224183664129
100.0	9.481581004163301
110.0	9.343524324050076
120.0	10.010303088561507
130.0	10.75521772665431
140.0	10.709616205443806
150.0	11.490225763228608
160.0	12.284133972032341
180.0	13.093093797326835
200.0	13.923449575366789
220.0	13.930168601975268
240.0	14.791962428118017
260.0	15.664494229032567
280.0	15.69778111376581
300.0	16.567818819958802
330.0	17.462030805115532
360.0	18.369114183784415
400.0	19.281562990934532
450.0	20.21461493083256
500.0	20.339345838716063
550.0	21.258142044080486
600.0	22.179579272772777
650.0	23.07784346521073
700.0	23.198936412576927
750.0	24.07749531351227
800.0	24.94545129759853
900.0	25.907141552539127
1000.0	26.966177280356185
1100.0	27.082825981894647
1200.0	27.997143930744365
1300.0	28.8635460077147
1500.0	29.940254886721476
1700.0	30.97708287548836
2000.0	32.736926553176026
2500.0	34.26056235611053
3000.0	36.18207635009852
4000.0	39.19351049030118
5000.0	41.135664149768516
6000.0	43.305833463052515
7000.0	44.970277250413965
8000.0	46.83323220479855
9000.0	48.304945908450385
10000.0	50.56534972290328
12000.0	52.04547317789688
15000.0	55.33948955030296
20000.0	60.061723504409066
30000.0	67.4107963164536
50000.0	78.50433103142247
100000.0	97.37025940763236
