# ZL channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.0
6.0	0.0
8.0	0.0
10.0	0.0
15.0	0.0
20.0	0.0
25.0	0.0
30.0	0.0
40.0	0.0
50.0	0.0
60.0	0.0
70.0	0.0
80.0	0.0
90.0	0.0
100.0	9.954997127414105
110.0	9.797272580239992
120.0	10.56662868207381
130.0	11.423594183558588
140.0	11.388555416153375
150.0	12.304557761952774
160.0	13.24678574076693
180.0	14.21295767644358
200.0	15.2144760406187
220.0	15.224361002830355
240.0	16.25742016342435
260.0	17.303087375210115
280.0	17.330830951947235
300.0	18.388892934936955
330.0	19.466044763324085
360.0	20.543455687279263
400.0	21.651961880607526
450.0	22.768200585550918
500.0	22.88547922056833
550.0	24.016308360026528
600.0	25.12653027729161
650.0	26.21877687506613
700.0	26.351880114609013
750.0	27.422766519134605
800.0	28.489011763697498
900.0	29.644263942912954
1000.0	30.897677902725533
1100.0	31.040065872221557
1200.0	32.14605130295868
1300.0	33.21506885807151
1500.0	34.493658209054416
1700.0	35.73188622334957
2000.0	37.83964272758012
2500.0	39.58529058019566
3000.0	41.831131541475685
4000.0	45.28227891157573
5000.0	47.42124911542026
6000.0	49.81862779559404
7000.0	51.61303132828589
8000.0	53.632987573700035
9000.0	55.19769966384121
10000.0	57.69613334633721
12000.0	59.15098701621884
15000.0	62.58972151276201
20000.0	67.49742059358762
30000.0	75.21803455142545
50000.0	86.95495414350817
100000.0	107.28934743222463
