//W channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.0
6.0	0.0
8.0	0.0
10.0	0.0
15.0	0.0
20.0	0.0
25.0	0.0
30.0	0.0
40.0	0.0
50.0	0.0
60.0	0.0
70.0	0.0
80.0	0.0
90.0	8.83955994302145
100.0	9.470100929049359
110.0	9.334846998951623
120.0	10.00422570964784
130.0	10.757220411580368
140.0	10.719674477536545
150.0	11.51076872651422
160.0	12.316951598658761
180.0	13.14555405187675
200.0	13.994960252191932
220.0	14.011473156940792
240.0	14.891111274878353
260.0	15.781637245423054
280.0	15.821462929761191
300.0	16.709038793366176
330.0	17.623743870629927
360.0	18.551203654423944
400.0	19.48584796904319
450.0	20.442512070914898
500.0	20.57611453732725
550.0	21.516974463048133
600.0	22.46036612383259
650.0	23.380203328931042
700.0	23.507803574205504
750.0	24.40700476023614
800.0	25.295495409815906
900.0	26.282323041233816
1000.0	27.365407233142147
1100.0	27.49213730553992
1200.0	28.426507889241815
1300.0	29.316357136963813
1500.0	30.421119932492
1700.0	31.48350414697432
2000.0	33.28303831993095
2500.0	34.84294838645672
3000.0	36.80179385535451
4000.0	39.86333090284299
5000.0	41.83920674281295
6000.0	44.034889727246636
7000.0	45.72114096770408
8000.0	47.594250456938326
9000.0	49.076443916629685
10000.0	51.376974918989696
12000.0	52.85060051046842
15000.0	56.1680750757125
20000.0	60.93766472031792
30000.0	68.37940385484009
50000.0	79.67371241456334
100000.0	99.08018459125671
