# Tau channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.41062977451103716
6.0	0.5772165385225652
8.0	0.8455681367916197
10.0	1.026522698041142
15.0	1.2878246050007987
20.0	1.5233598767297958
25.0	1.598310757152015
30.0	1.730930422738441
40.0	1.9026545979079157
50.0	1.9584486651089756
60.0	2.050877518162046
70.0	2.0952604418503573
80.0	2.1677404572936365
90.0	2.2023095140976876
100.0	2.233166587687963
110.0	2.2340142436879966
120.0	2.2570171586954517
130.0	2.278383594271078
140.0	2.2834423036489
150.0	2.29981981700372
160.0	2.3055622305172916
180.0	2.3131509347115844
200.0	2.3119015593180885
220.0	2.321432736786397
240.0	2.311263809943612
260.0	2.290286985901368
280.0	2.3001835063108778
300.0	2.2733009653097525
330.0	2.2424397463876584
360.0	2.205159997565428
400.0	2.1673937254945472
450.0	2.125471484564403
500.0	2.144526446283929
550.0	2.0992179111496236
600.0	2.049981293209856
650.0	1.998427788059584
700.0	2.0148390345449343
750.0	1.962919203394276
800.0	1.9105746004024173
900.0	1.87392834274916
1000.0	1.9280249544809127
1100.0	1.8636333027577248
1200.0	1.8281433957634217
1300.0	1.7944769197141774
1500.0	1.7856963870706364
1700.0	1.7763448354698255
2000.0	1.7452226581637098
2500.0	1.7930235702686346
3000.0	1.8054701001823619
4000.0	1.8674858926461857
5000.0	1.9621355011753556
6000.0	2.033795430567037
7000.0	2.1103139423791
8000.0	2.173265026385783
9000.0	2.2378407960716418
10000.0	2.3499942681319457
12000.0	2.4083558037738193
15000.0	2.545500854869877
20000.0	2.719880890689202
30000.0	2.9704141890590807
50000.0	3.2675695930417716
100000.0	3.5459284546945704
