#Nu]\[Mu channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.0
6.0	0.0
8.0	0.0
10.0	0.0
15.0	0.0
20.0	0.0
25.0	0.0
30.0	0.0
40.0	0.0
50.0	0.0
60.0	0.0
70.0	0.0
80.0	0.0
90.0	0.0
100.0	0.0
110.0	0.0
120.0	0.0
130.0	0.002998509812042642
140.0	0.008203804039438127
150.0	0.015566337385310111
160.0	0.0245826535727195
180.0	0.043710707101038304
200.0	0.06555072883120638
220.0	0.08309336521326056
240.0	0.10790176457994977
260.0	0.13479091533888293
280.0	0.15243177387221327
300.0	0.18182984963382917
330.0	0.2221261248025774
360.0	0.2645686094021482
400.0	0.3178918175041599
450.0	0.3816755927820666
500.0	0.42234580695634766
550.0	0.48694712671308515
600.0	0.5532851840957559
650.0	0.6213991220215184
700.0	0.6574960903572841
750.0	0.727014865081736
800.0	0.7981274343742601
900.0	0.9045620944929792
1000.0	1.0126184437314045
1100.0	1.0713159871092897
1200.0	1.1752181833079212
1300.0	1.2791570048382899
1500.0	1.4356682624811081
1700.0	1.5874799370328323
2000.0	1.835797218947476
2500.0	2.099424746415375
3000.0	2.402027892966235
4000.0	2.8986686015010967
5000.0	3.2262701349664105
6000.0	3.5756548881215013
7000.0	3.8380401199524448
8000.0	4.12577875605958
9000.0	4.342442882325811
10000.0	4.600359053115094
12000.0	4.86055616502745
15000.0	5.279486237498128
20000.0	5.810104173308134
30000.0	6.523059267819768
50000.0	7.37483050739922
100000.0	8.218504068870358
