# g channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.5016381315223162
6.0	0.7402081687073198
8.0	1.2200038006141112
10.0	1.622141271483122
15.0	2.352436900957957
20.0	3.32753978147336
25.0	3.658287339808043
30.0	4.492829924035447
40.0	5.954465965236085
50.0	6.475797268892676
60.0	7.683826691875574
70.0	8.33559033983258
80.0	9.766433358235517
90.0	10.542963709836188
100.0	11.359701418578373
110.0	11.373752331951064
120.0	12.2395519371457
130.0	13.14134531927308
140.0	13.16879051377216
150.0	14.118816204721844
160.0	15.10743370973302
180.0	16.1693286754211
200.0	17.279749421098234
220.0	17.3587545274757
240.0	18.520385259768
260.0	19.713400095143676
280.0	19.804338134844166
300.0	21.041821440677385
330.0	22.359563967632194
360.0	23.72370577267933
400.0	25.170534314525764
450.0	26.70273098277398
500.0	26.943711565407465
550.0	28.50978209932511
600.0	30.11484000463738
650.0	31.745752341317925
700.0	31.97119061858663
750.0	33.645430303213
800.0	35.33905819579939
900.0	37.298177329189485
1000.0	39.453877710984315
1100.0	39.69462835807965
1200.0	41.66453651466072
1300.0	43.68465388562255
1500.0	46.10618191382316
1700.0	48.52937571364641
2000.0	52.991830404658856
2500.0	56.41716859539863
3000.0	61.52716365521719
4000.0	69.80817342683645
5000.0	74.21042045511552
6000.0	80.28132492699378
7000.0	84.28081446801926
8000.0	90.0905462826818
9000.0	93.82486772327327
10000.0	98.60883642165135
12000.0	102.66670753222098
15000.0	110.82625476429752
20000.0	122.6763241641294
30000.0	138.41126611210842
50000.0	160.65437604149247
100000.0	196.68531140480246
