# c channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.5019347986078685
6.0	0.7400198945101032
8.0	1.2203133996323356
10.0	1.6217661859152177
15.0	2.352754274261674
20.0	3.3273028278284085
25.0	3.659096876694156
30.0	4.492117477048844
40.0	5.954617697016504
50.0	6.4816836139763625
60.0	7.698197796184287
70.0	8.35085227040235
80.0	9.786810380745823
90.0	10.564178280742572
100.0	11.379808129101962
110.0	11.394713527414329
120.0	12.25935020901382
130.0	13.161415115109959
140.0	13.188186763658832
150.0	14.137397492522704
160.0	15.121498037538316
180.0	16.19147962304256
200.0	17.309483209226208
220.0	17.398197304007724
240.0	18.565544367256486
260.0	19.767478272071642
280.0	19.86097495714153
300.0	21.118371775138403
330.0	22.452225880865633
360.0	23.83122776457968
400.0	25.292715537880376
450.0	26.855702315696025
500.0	27.105771194052007
550.0	28.698654645229052
600.0	30.333186257717603
650.0	31.98605118442684
700.0	32.23597601528828
750.0	33.92127731963318
800.0	35.645287793512864
900.0	37.636818406982016
1000.0	39.838576749572006
1100.0	40.09817208181078
1200.0	42.12344780206619
1300.0	44.167231804126594
1500.0	46.630815788388475
1700.0	49.10618910450997
2000.0	53.672138943948255
2500.0	57.18081190934406
3000.0	62.404503735745436
4000.0	70.85994763911908
5000.0	75.34413143607895
6000.0	81.52823167562087
7000.0	85.61240661098729
8000.0	91.45866582605858
9000.0	95.26000867807666
10000.0	100.11609853355277
12000.0	104.22771527041675
15000.0	112.43689948506731
20000.0	124.35104706790042
30000.0	140.12882539998765
50000.0	162.44173485992124
100000.0	198.22074360356922
