# q channel integrated photon spectrum
MASS	Energy Spectrum
5.0	0.4424620893122433
6.0	0.6690696082478701
8.0	1.1352745928022345
10.0	1.5334118257453573
15.0	2.2660461580068136
20.0	3.2451003592104795
25.0	3.582720897291409
30.0	4.422864434644556
40.0	5.897859776291439
50.0	6.428728949734966
60.0	7.651538588093225
70.0	8.31112822003106
80.0	9.753135199879235
90.0	10.534670579993875
100.0	11.354105210633428
110.0	11.367239793891331
120.0	12.232424088079068
130.0	13.140054897991249
140.0	13.161887617220804
150.0	14.11366706361585
160.0	15.104372991925372
180.0	16.177639545458643
200.0	17.295153602712926
220.0	17.385778952442617
240.0	18.56241320479678
260.0	19.767577420583162
280.0	19.86186120618304
300.0	21.116237750554813
330.0	22.46548905010431
360.0	23.847770948113922
400.0	25.324305452708387
450.0	26.887069029717317
500.0	27.135518876022296
550.0	28.739456973522305
600.0	30.381054190137757
650.0	32.037532716253715
700.0	32.28433952610501
750.0	33.98325365664121
800.0	35.71355228065099
900.0	37.70587001732427
1000.0	39.90723254093575
1100.0	40.16942906931059
1200.0	42.19480351299761
1300.0	44.258582378101984
1500.0	46.72540921977924
1700.0	49.20218846600648
2000.0	53.76743811763103
2500.0	57.286792529527595
3000.0	62.48857884425472
4000.0	70.95590071013861
5000.0	75.4255572406608
6000.0	81.6001067792104
7000.0	85.68140793564491
8000.0	91.54421705876817
9000.0	95.37253076930874
10000.0	100.17073742058452
12000.0	104.32276921374924
15000.0	112.55059369854989
20000.0	124.41982270206155
30000.0	140.21975435196308
50000.0	162.40239509752837
100000.0	198.25341857677418
