############################################################
# MADHAT (Model-Agnostic Dark Halo Analysis Tool ) Set 1
#
# Use README in file to understand inputs
# ID#: Identify the Dwarf Galaxy to be analyzied
# J: The log10 of the J factor corresponding to the dwarf galaxy
# dJ+: The positive error log10 of the J factor corresponding to the dwarf galaxy
# dJ-: The negetive log10 of the J factor corresponding to the dwarf galaxy
###########################################################
ID	J	dJ+	dJ-
1	18.2	0.4	0.4
2	18.9	0.6	0.6
3	18.8	0.6	0.6
4	17.4	0.3	0.3
5	17.6	0.4	0.4
6	17.9	0.1	0.1
7	19.1	0.6	0.6
8	17.6	0.6	0.6
9	19	0.4	0.4
10	18.8	0.1	0.1
11	19.3	0.6	0.6
12	17.1	0.6	0.6
13	18.1	0.6	0.6
14	17.8	0.1	0.1
15	17.9	0.6	0.6
16	18.7	0.6	0.6
17	16.9	0.7	0.7
18	18.2	0.6	0.6
19	18.3	0.6	0.6
20	17.8	0.6	0.6
21	17.4	0.6	0.6
22	18.1	0.6	0.6
23	17.8	0.2	0.2
24	18	0.2	0.2
25	16.3	1.4	1.4
27	16.4	0.9	0.9
28	17.5	0.6	0.6
29	18.1	0.6	0.6
30	17.9	0.6	0.6
31	17.6	0.6	0.6
32	18.9	0.6	0.6
33	18.2	0.6	0.6
34	18.4	0.6	0.6
35	18.5	0.1	0.1
36	19.4	0.3	0.3
38	17.5	0.2	0.2
39	19.1	0.6	0.6
40	18.6	0.6	0.6
41	19.3	0.6	0.6
42	18.7	0.6	0.6
43	18.6	0.6	0.6
44	17.9	0.5	0.5
45	19.4	0.4	0.4
46	18.9	0.2	0.2
47	18.9	0.6	0.6
