# J_d factors for dwarves in madhat
ID	J	dJ+	dJ-
1	2.4000166311834614	1.5776698685909998	1.444863741060112
2	1.9831078687434929	0.986077697501502	0.9444753404106345
5	1.423938067071619	0.7895865299445437	0.5238965293018144
6	2.084992768582444	1.2674933175557732	1.3453267842485745
8	1.4149963609668204	0.5359556136093768	0.283575535518821
9	1.3158169056087912	1.3974821110520945	1.3375901884772459
14	3.1629855799931406	1.1875290151052091	1.3205545300384907
20	2.1426268619482465	0.09679825156601396	0.0933289433637623
23	0.56849531530409	1.4321411698309428	1.292176346471186
24	3.8216557506340543	1.9373775124465462	1.9375558637674546
31	2.2738143117097422	0.6611198364525332	0.6215826651112111
32	1.6488680671778617	1.0610246934727492	0.4678450665155858
41	2.616566795925688	1.2922516651159666	1.4113790812077387
45	2.6065928780484664	0.20963859527483564	0.13911776187888325
46	1.9760918137480046	1.6256214579192119	1.3280174836974883
48	1.335137734711167	0.3637494379002748	0.22575904279286707
50	3.2041389317100015	1.2399827878904195	1.1777968118121067
54	2.283071396276206	0.9036186225970062	0.7549239915367856
55	3.850934544709537	1.1178845884434714	1.0817472323952408
56	2.7192679620664806	0.280568109302596	0.19200122023695387
15	-2.8427025801739982	0.5015761030708719	0.4636878127628714
27	1.9956608256982957	1.1621187954371808	1.2411839314795676
44	0.0990853967250326	1.8424269713964478	1.395498647430232
