# J_p factors for dwarves in madhat
ID	J	dJ+	dJ-
1	11.483949588407084	1.2225687035569504	1.063101602443858
2	11.342274658534295	0.9292332347647854	0.7547876729716538
5	10.500309914588259	0.6145041997164107	0.3537486267463006
6	11.094960014537119	0.9960945931641909	0.9685801283306503
8	10.701831093847245	0.43004805498053145	0.18904830983792742
9	11.061989375311827	1.206453909241679	1.0489045820317067
14	12.403118290057012	1.1461554668660412	1.046889688642061
20	11.160789165283015	0.09085571437452522	0.08775991652111692
23	10.06311957629906	1.0744044439598675	0.9411125138831338
24	12.682402355277347	1.5130773273030176	1.39013157753023
31	11.043286727471896	0.5366426854504898	0.4023214645135109
32	10.736706590309108	0.6795306512127723	0.31395345951072784
41	12.094804399520392	1.3000174136242464	1.0965446631177969
45	11.66594574408902	0.14950511063624106	0.0902416044271579
46	11.721884657366791	1.4246221896992761	1.0055227847939712
48	10.687350591596598	0.3871199397449132	0.17766446619448928
50	12.35552156253708	1.0443339094746538	0.9664938517394557
54	11.409680601192553	0.7808025416595417	0.5616311764120354
55	13.029963898558819	1.0522174274344387	0.9170736988664281
56	11.808788610388838	0.20400058877366511	0.14695119085581965
15	7.539913030422389	0.42282017153815854	0.37192281076806744
27	11.69562271670838	1.2107832635198505	1.0283048480137182
44	9.944911964304193	1.419334947853942	1.0703180833258106
