# J_s factors for dwarves in madhat
ID	J	dJ+	dJ-
1	18.38954436218705	0.70089159551204	0.6154316971652207
2	18.386603445490195	0.44501531321281007	0.38199198788140976
5	17.489827718872494	0.23385036521019487	0.17570733033920405
6	17.938489376088967	0.5341620258848181	0.5194032347278217
8	17.90350906991588	0.14777659944992294	0.10674788255784406
9	18.48068873784871	0.6385747815730447	0.61174992907684
14	19.256147541404317	0.5686270749938664	0.49677761521318686
20	18.113085111212623	0.09600351353886794	0.09182650122939151
23	17.449158483785254	0.5817316144291205	0.5667167104778734
24	19.39430121565336	0.8416398114824943	0.7889377670095001
31	17.714949799167535	0.22009310261623938	0.1568370833766437
32	17.778323547596642	0.26159741903482825	0.18918480422332706
41	19.22278237003665	0.6069200813622047	0.5384207433017458
45	18.639337970883478	0.05428877702314949	0.048082144776692815
46	19.2841877096822	0.6392129354058227	0.6259344545600953
48	17.87505264657829	0.1260499802243622	0.10072290565093667
50	19.09452080682688	0.5999974884279524	0.5614960069405335
54	18.381979117503466	0.3514622589413108	0.3135865761787926
55	19.739532729120032	0.5326255643728786	0.4805809033822541
56	18.81206844131254	0.11796099965312834	0.11095322372078087
15	15.568214261619522	0.24805283408400847	0.22988040504141694
27	18.936197667735353	0.571170209497577	0.472986082136412
44	17.487984452579123	1.2325938191505799	0.7912924049869119
